cap_number,po_initials,po_race,po_sex,allegations_investigated,investigative_findings,disciplinary_findings
15-0203,DM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0204,JW,White,Male,Lack of Service,Sustained Finding,No Guilty Findings
15-0205,AD,Black,Female,Lack of Service,Sustained Finding,Training/Counseling
15-0205,AD,Black,Female,Lack of Service,Sustained Finding,Training/Counseling
15-0205,AD,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0205,PW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0205,RO,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0206,TW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0206,JH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0206,RJ,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0207,BA,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0208,MH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0208,WG,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0208,RH,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0208,JP,Latino,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0208,DA,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0209,TY,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0210,CH,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0211,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0212,EW,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0213,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0213,MJ,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0214,TY,Asian,Female,Harassment,Other than Sustained Finding,Not Applicable
15-0215,KD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0215,SK,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0215,SK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0216,RR,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0217,JP,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0217,JP,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0218,SH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0218,ER,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0218,DK,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
15-0218,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
15-0219,JD,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0220,BK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0220,ET,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0221,WM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0222,MI,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0222,CD,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0222,CD,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0223,FS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0224,JD,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0224,KG,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0225,RG,Black,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0225,JF,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0226,GF,Latino,Male,Domestic,Other than Sustained Finding,Not Applicable
15-0226,GF,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0227,GR,Black,Male,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
15-0227,DB,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0228,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0228,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0228,AR,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0229,MS,White,Male,Unprofessional Conduct,Sustained Finding,Guilty Finding
15-0229,MS,White,Male,Lack of Service,Sustained Finding,Guilty Finding
15-0230,JG,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0231,DS,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0231,DS,Latino,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0231,DS,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0231,DS,Latino,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0231,DS,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0231,DS,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0231,CV,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0232,JH,White,Male,Departmental Violation,Sustained Finding,Not Applicable
15-0232,JH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0232,LC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0232,LC,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0233,MG,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0233,OM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0234,JF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0235,MD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0235,MD,White,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0236,BM,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0236,BM,Black,Male,Unprofessional Conduct,Sustained Finding,Training/Counseling
15-0236,DS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0236,C,Latino,Male,Unprofessional Conduct,Sustained Finding,Training/Counseling
15-0236,C,Latino,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0237,SL,White,Female,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0237,SL,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
15-0238,MW,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0238,JR,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0239,MR,Latino,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0239,DL,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0240,CS,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0240,CS,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0240,AM,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0240,AM,Latino,Male,Verbal Abuse,Sustained Finding,Training/Counseling
15-0241,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
15-0241,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0241,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0242,RR,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0243,DV,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0244,JM,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0245,FR,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0246,AM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0246,AM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0246,RH,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0247,NM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0248,MA,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0249,CS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0249,GS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0250,RP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0251,CP,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0251,RE,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0252,BL,Asian,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
15-0252,JS,Latino,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
15-0253,JD,Latino,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0254,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0254,CK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0255,JY,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0255,JY,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0255,JY,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0255,JL,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0255,JL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0255,JL,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0256,HM,White,Female,Harassment,Other than Sustained Finding,Not Applicable
15-0256,SM,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0256,SM,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0257,CP,Black,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0258,JS,White,Female,Sexual Crime/Misconduct,Other than Sustained Finding,Not Applicable
15-0258,JS,White,Female,Departmental Violation,Sustained Finding,Training/Counseling
15-0258,JS,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0258,JS,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0259,RS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0259,JW,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0259,JW,White,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0260,AO,Latino,Male,Falsification,Sustained Finding,No Guilty Findings
15-0260,DC,Black,Female,Departmental Violation,Sustained Finding,Training/Counseling
15-0260,AO,Latino,Male,Departmental Violation,Sustained Finding,No Guilty Findings
15-0260,AO,Latino,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0260,AO,Latino,Male,Disciplinary Code Violation,Sustained Finding,No Guilty Findings
15-0261,MA,Black,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0262,TW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0262,TW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0263,JJ,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0263,ER,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0264,MW,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0264,MW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0264,MW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0264,MW,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0264,MW,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0264,BH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0264,BH,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0265,JK,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0265,JK,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0265,DL,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0266,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0266,EF,Black,Female,Harassment,Other than Sustained Finding,Not Applicable
15-0267,UNK,UNK,UNK,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0267,CS,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0268,SG,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0268,SG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0268,EK,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0268,EK,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0269,KC,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0269,AC,Asian,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0270,GR,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0270,RW,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0270,MC,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0271,MB,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0271,SM,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0272,KM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0273,JB,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0274,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0275,DM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0275,DM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0275,BS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0275,BS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0276,JC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0277,EC,Latino,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0277,AJ,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0278,AB,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0278,MH,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0279,FR,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0279,CA,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0280,CW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0280,KR,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0280,KR,White,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0281,GD,Latino,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0282,JM,Black,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0283,AP,Black,Male,Domestic,Other than Sustained Finding,Not Applicable
15-0283,AP,Black,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0283,AP,Black,Male,Domestic,Other than Sustained Finding,Not Applicable
15-0283,AP,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0283,AP,Black,Male,Domestic,Other than Sustained Finding,Not Applicable
15-0284,UNK,UNK,UNK,Harassment,Other than Sustained Finding,Not Applicable
15-0284,RL,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0284,RL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0284,MR,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0284,MR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0285,TW,Black,Male,Civil Rights Complaint,Other than Sustained Finding,Not Applicable
15-0286,LN,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0286,MW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0286,MW,White,Male,Physical Abuse,Sustained Finding,Pending
15-0286,AG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0286,AG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0287,CJ,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0287,FC,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0287,MW,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0288,BH,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0288,CV,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0288,HR,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0289,RP,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0289,RP,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0290,NJ,Black,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0290,JW,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0291,JM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0292,MB,White,Male,Lack of Service,Sustained Finding,Training/Counseling
15-0292,MB,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0292,CJ,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0293,DR,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0293,RB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0294,PS,Latino,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0294,SM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0295,VA,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0296,TL,Asian,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0297,EP,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0297,AH,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0297,AH,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0298,ER,Black,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0298,ER,Black,Male,Falsification,Sustained Finding,Guilty Finding
15-0298,TD,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0299,PP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0300,CB,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0301,CM,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0301,JS,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0301,TT,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0301,MB,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0302,RP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0303,PD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0304,PF,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0304,NC,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0304,PF,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0304,NC,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0304,PF,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0304,NC,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0305,TB,Black,Female,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0305,TB,Black,Female,Harassment,Other than Sustained Finding,Not Applicable
15-0306,JE,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,JH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,EV,Latino,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,HT,Black,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,MG,Asian,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,SK,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0307,DM,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0308,RP,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0308,MB,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0309,JM,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0309,JM,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0309,JM,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0310,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
15-0311,JP,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0311,WB,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0312,MB,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0312,SW,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0313,UNK,UNK,UNK,Investigation OnGoing,Pending,Pending
15-0314,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0314,CB,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0315,WS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0315,WS,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0316,UNK,UNK,UNK,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0316,WS,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0316,MC,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0317,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0317,CB,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0317,CB,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0318,TS,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0318,CD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0319,AB,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0320,RH,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0320,DC,Asian,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0321,UNK,UNK,UNK,Harassment,Other than Sustained Finding,Not Applicable
15-0322,S,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0322,S,Black,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0323,TO,White,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0324,PR,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0324,TS,White,Female,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0324,PF,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0324,PF,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0324,MR,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0324,LP,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0324,KB,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0325,UNK,UNK,UNK,Lack of Service,Other than Sustained Finding,Not Applicable
15-0326,AH,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0327,CR,Latino,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0327,CR,Latino,Male,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0328,BD,Black,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0328,RF,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0328,RM,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0328,RS,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0329,MM,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0329,MM,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0329,MM,Black,Male,Verbal Abuse,Other than Sustained Finding,Not Applicable
15-0330,PM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0331,JW,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0331,JW,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0331,JG,White,Male,Lack of Service,Sustained Finding,Training/Counseling
15-0331,JG,White,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0331,JB,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0331,LM,White,Female,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0331,SP,Black,Female,Lack of Service,Sustained Finding,Training/Counseling
15-0331,WG,Latino,Female,Departmental Violation,Sustained Finding,Training/Counseling
15-0332,WJ,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0333,MT,White,Male,Falsification,Sustained Finding,Guilty Finding
15-0333,MT,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,MT,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,MT,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,IN,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,IN,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,IN,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,KP,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,FK,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,KP,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0333,KP,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,FK,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,RO,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0333,KP,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,RO,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,RO,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,RO,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,RO,White,Male,Falsification,Sustained Finding,Guilty Finding
15-0333,FK,White,Male,Departmental Violation,Sustained Finding,Guilty Finding
15-0333,TG,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,TG,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0333,TG,Black,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0334,DB,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0335,QG,Black,Female,Unprofessional Conduct,Sustained Finding,No Guilty Findings
15-0335,QG,Black,Female,Verbal Abuse,Sustained Finding,No Guilty Findings
15-0336,VL,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0336,VL,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0337,ST,Asian,Male,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0338,TS,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0339,UNK,UNK,UNK,Criminal Allegation,Other than Sustained Finding,Not Applicable
15-0340,JM,White,Male,Lack of Service,Other than Sustained Finding,Not Applicable
15-0341,SM,White,Female,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0342,DD,White,Male,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0342,DD,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0343,UNK,UNK,UNK,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0343,UNK,UNK,UNK,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0343,SD,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0344,UNK,UNK,UNK,Physical Abuse,Other than Sustained Finding,Not Applicable
15-0344,UNK,UNK,UNK,Unprofessional Conduct,Other than Sustained Finding,Not Applicable
15-0344,SC,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0344,SB,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0345,JH,Black,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0346,TK,Black,Female,Lack of Service,Other than Sustained Finding,Not Applicable
15-0347,RO,White,Male,Harassment,Other than Sustained Finding,Not Applicable
15-0347,MF,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
15-0347,RO,White,Male,Departmental Violation,Other than Sustained Finding,Not Applicable
15-0347,RO,White,Male,Departmental Violation,Sustained Finding,Training/Counseling
