complaint_id,date_received,district_occurrence,general_cap_classification,summary
17-0632,12/21/17,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-19-17 at 10:04pm, they were physically abused and property was damaged by officers assigned to the 12th District."
17-0633,12/21/17,19,LACK OF SERVICE,"According to the complainant, on 8-17-17, they did not receive proper service from unknown officers in the 19th District."
17-0634,12/22/17,25,PHYSICAL ABUSE,"According to the complainant, on 11-26-17, their client was physically abused by officers assigned to the 25th District."
17-0635,12/26/17,77,VERBAL ABUSE,"According to the complainant, on 12-19-17 at 5:45pm, they were verbally abused by an officer assigned to the Airport."
17-0636,12/27/17,15,LACK OF SERVICE,"According to the complainant, on 7-9-17 at 3:00pm, they did not receive proper service from an officer assigned to the 2nd District."
17-0637,12/26/17,24,PHYSICAL ABUSE,"According to the complainant, on 12-21-17 at 9:00pm, they were physically abused by unknown officers operating a marked police vehicle. This incident occurred in the confines of the 24th District."
17-0638,12/26/17,N/A,NON-INVESTIGATORY INCIDENT,"According to the complainant, they were treated unprofessionally by an off duty sergeant assigned to the 16th District. This incident occurred in the confines of the 2nd District."
17-0639,12/27/17,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-23-17 at 8:00pm, they were treated unprofessionally by officers assigned to the 39th District."
17-0640,12/28/17,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-17 at 6:30pm, they were improperly stopped and searched by officer assigned to the 14th District."
17-0641,12/28/17,9,HARASSMENT,"According to the complainant, on two separate occasions, 12-18-17 and 12-22-17, they were illegally evicted by a sergeant and officers assigned to the 9th District."
17-0642,12/28/17,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 6-15-17 at 9:57pm, they were falsely detained and physically abused by officers assigned to the 35th District."
17-0643,12/28/17,15,PHYSICAL ABUSE,"According to the complainant, on 12-26-17 at 7:00pm, they were falsely detained, physically and verbally abused by officers assigned to the 15th District."
17-0644,12/29/17,35,PHYSICAL ABUSE,"According to the complainant, on 12-23-17 at 4:22pm, they were falsely arrested and physically abused by officers assigned to the 35th District."
17-0645,12/29/17,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-2-17 at 4:45pm, proper police procedures were not followed by an officer assigned to Narcotics Field Unit. This incident occurred in the confines of the 18th District."
17-0646,12/31/17,6,HARASSMENT,"According to the complainant, on 12-27-17 at 3:38pm, they were verbally abused and harassed by an officer assigned to Center City District."
17-0647,12/31/17,6,LACK OF SERVICE,"According to the complainant, on 9-26-17 at 12:00am, proper police procedures and proper service was not given by an officer in the 6th District and a detective assigned to Homicide."
17-0648,12/31/17,8,VERBAL ABUSE,"According to the complainant, on 12-28-17 at 11:49pm, they were verbally abused and did not receive proper service from an officer assigned to the 8th District."
17-0649,12/31/17,22,VERBAL ABUSE,"According to the complainant, on 12-28-17 at 3:18pm, they were treated unprofessionally by officers assigned to the 22nd District."
17-0650,12/31/17,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-20-17 at 4:50pm, they were improperly ticketed by an officer assigned to the 19th District."
17-0651,12/31/17,25,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-31-17 at 6:30pm, they did not receive proper service from a sergeant and officers assigned to the 25th District."
17-0652,12/31/17,26,LACK OF SERVICE,"According to the complainant, on 12-29-17 at 7:53am, they did not receive proper service from officers assigned to the 26th District."
17-0653,12/31/17,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-23-17 at 5:30pm, they were treated unprofessionally by an officer assigned to the 19th District."
18-0001,1/4/18,22,VERBAL ABUSE,"According to the complainant, on 1-2-18 at 11:00am, they were verbally abused by officers assigned to the 22nd District."
18-0002,1/8/18,19,PHYSICAL ABUSE,"According to the complainant, on 10-12-17 at 4:30pm, they were harassed and physically abused by officers assigned to the 19th District."
18-0003,1/4/18,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-27-17 at 4:05pm, they were treated unprofessionally by officers assigned to the 14th District."
18-0004,1/10/18,26,LACK OF SERVICE,"According to the complainant, on 12-24-17 at 9:00pm, they did not receive proper service from an officer assigned to the 26th District."
18-0005,1/8/18,8,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-22-17 at 3:00pm, proper police procedures were not followed by an officer assigned to the 8th District."
18-0006,1/10/18,6,PHYSICAL ABUSE,"According to the complainant, on 1-3-17 at 2:30pm, they were treated unprofessionally by an off duty officer assigned to the 6th District."
18-0007,1/8/18,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-2-17 at 12:30pm, proper police procedures were not followed by officers assigned to the 35th District."
18-0008,1/11/18,1,PHYSICAL ABUSE,"According to the complainant, on 1-3-18 at 9:10pm, they were physically abused by an officer assigned to the 1st District."
18-0009,1/9/18,18,PHYSICAL ABUSE,"According to the complainant, on 1-8-18 at 1:00am, they were verbally and physically abused by officers assigned to the 18th District."
18-0010,1/10/18,8,DOMESTIC,"According to the complainant, they were verbally and physically abused by an off duty officer assigned to the 15th District."
18-0011,1/9/18,8,PHYSICAL ABUSE,"According to the complainant, on 12-26-17 at 5:00pm, they were physically abused by officers assigned to the 8th District."
18-0012,1/11/18,35,HARASSMENT,"According to the complainant, for the past seven years they have been harassed by an officer assigned to the 3rd District."
18-0013,1/11/18,19,PHYSICAL ABUSE,"According to the complainant, on 12-29-17 at 8:12pm, they were verbally and physically abused by the officers assigned to the 19th District."
18-0014,1/11/18,7,LACK OF SERVICE,"According to the complainant, on 12-25-17 at 2:30pm, they did not receive proper service from officers assigned to the 7th District."
18-0015,1/11/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-16-17 at 2:40pm, they were improperly stopped by officers assigned to the 18th District."
18-0016,1/16/18,6,LACK OF SERVICE,"According to the complainant, on 11-16-17 at 9:15am, they did not receive proper service from officers assigned to the Center City District."
18-0017,1/17/18,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-17-17 at 3:30pm, their home was improperly searched and they were physically abused by a detective and a supervisor assigned to Northwest Detectives."
18-0018,1/17/18,22,PHYSICAL ABUSE,"According to the complainant, on 1-12-18 at 9:22pm, they were physically abused by officers assigned to Highway Patrol."
18-0019,1/17/18,39,LACK OF SERVICE,"According to the complainant, on 11-19-17 at 10:10am, they were treated unprofessionally by a sergeant and other officers assigned to the 39th District."
18-0020,1/17/18,15,PHYSICAL ABUSE,"According to the complainant, on 1-15-18 at 8:30pm, they were physically abused by officers assigned to the 15th District."
18-0021,1/17/18,35,PHYSICAL ABUSE,"According to the complainant, on 11-24-17 at 12:59pm, they were physically abused by an officer assigned to the 35th District."
18-0022,1/19/18,2,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-13-18 at 6:56pm, they were treated rudely by officers assigned to Highway Patrol."
18-0023,1/23/18,8,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-16-18 at 9:00am, they were treated unprofessionally by a corporal and an officer assigned to the 8th District."
18-0024,1/19/18,1,PHYSICAL ABUSE,"According to the complainant, on 1-3-18, they were physically abused by an officer assigned to the 1st District."
18-0025,1/23/18,24,PHYSICAL ABUSE,"According to the complainant, on 1-19-18, they were physically abused by officers assigned to the Narcotics Strike Force."
18-0026,1/30/18,14,PHYSICAL ABUSE,"According to the complainant, on 1-21-18 at 5:00am, they were physically abused by officers assigned to the 14th District."
18-0027,1/23/18,18,CRIMINAL ALLEGATION,"According to the complainant, on 1-18-18 at 10:45pm, they were not given their property back and was verbally abused by officers assigned to the 18th District."
18-0028,1/24/18,1,PHYSICAL ABUSE,"According to the complainant, on 1-6-17, they were physically abused by a detective assigned to South Detective Division."
18-0029,1/23/18,8,LACK OF SERVICE,"According to the complainant, on 8-31-16 at 12:00am, they did not receive proper service from officers assigned to the 8th District."
18-0030,1/23/18,2,LACK OF SERVICE,"According to the complainant, on 1-11-18 at 2:00pm,they did not receive proper service from an officer assigned to the 2nd District."
18-0031,1/23/18,3,VERBAL ABUSE,"According to the complainant, on 1-21-18 at 10:30pm, they were verbally abused by officers assigned to Highway Patrol."
18-0032,1/25/18,25,LACK OF SERVICE,"According to the complainant, on 11-29-17 at 4:30pm, they did not receive proper service from officers assigned to the 35th District."
18-0033,1/29/18,24,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 9-7-17 at 6:30pm, proper police procedures were not followed by officers assigned to the 24th District."
18-0034,1/30/18,22,VERBAL ABUSE,"According to the complainant, on 1-25-18 at 8:40pm, they were verbally abused by an officer assigned to Highway Patrol."
18-0035,1/29/18,15,PHYSICAL ABUSE,"According to the complainant, on 1-28-18 at 5:40pm, they were verbally and physically abused by detectives assigned to Northeast Detective Division."
18-0036,2/1/18,6,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 10-24-17 at 2:30pm, they were falsely arrested by officers assigned to the 22nd District."
18-0037,1/30/18,25,NON-INVESTIGATORY INCIDENT,"According to the complainant, since 11-13-15, they have not received proper service from a detective assigned to Special Victims."
18-0038,2/2/18,15,HARASSMENT,"According to the complainant, on 1-27-18 at 2:37am, they were harassed by an off duty officer assigned to the 12th District."
18-0039,2/2/18,12,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 1-22-18 at 8:00pm, they were improperly stopped and physically abused by officers assigned to the 12th District."
18-0040,2/2/18,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-30-18 at 7:00pm, they were verbally abused by officers assigned to the 35th District."
18-0041,2/2/18,39,PHYSICAL ABUSE,"According to the complainant, on 12-22-17 at 7:46pm, they were physically and verbally abused by officers assigned to the 39th District."
18-0042,2/2/18,5,VERBAL ABUSE,"According to the complainant, on 1-23-18 at 6:00pm, they were verbally abused by an officer assigned to the 5th District."
18-0043,2/13/18,25,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-31-18, their property was damaged and they were verbally abused by an off-duty officer assigned to the 25th District."
18-0044,2/7/18,16,LACK OF SERVICE,"According to the complainant, on 11-06-16, at 4:06pm,they did not receive proper service from a detective assigned to Southwest Detective Division."
18-0045,2/7/18,25,LACK OF SERVICE,"According to the complainant, on 12-3-17 at 2:30am, they did not receive proper service from an officer assigned to the 25th District."
18-0046,2/8/18,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 1-17-18 at 5:00pm, they were improperly stopped and searched by officers assigned to the 19th District."
18-0049,2/13/18,24,PHYSICAL ABUSE,"According to the complainant, on 1-29-18 at 11:30am, they were physically abused by an officer assigned to Neighborhood Services."
18-0050,2/14/18,18,PHYSICAL ABUSE,"According to the complainant, on 12-20-17 at 9:08pm, they were physically abused and improperly stopped by an officers assigned to the 18th District."
18-0051,2/15/18,N/A,HARASSMENT,"According to the complainant, they have been harassed by an officer assigned to the 39th District."
18-0052,2/13/18,16,VERBAL ABUSE,"According to the complainant, on 2-11-18 at 7:00am, they were verbally abused by an officer assigned to the 16th District."
18-0053,2/13/18,35,LACK OF SERVICE,"According to the complainant, on 1-15-18 at 9:00am, they did not receive proper service from an officer assigned to the 35th District."
18-0054,2/14/18,9,PHYSICAL ABUSE,"According to the complainant, on 2-8-18 at 11:34am, they were physically abused by an officer assigned to the 9th District."
18-0055,2/14/18,9,LACK OF SERVICE,"According to the complainant, on 2-8-18 at 8:25am, they were discriminated against by an officer assigned to the 9th District."
18-0056,2/15/18,35,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-10-18 at 2:15pm, they were treated unprofessionally by officers assigned to the 35th District."
18-0057,2/15/18,N/A,DOMESTIC,"According to the complainant, since November 2017, they have been harassed by an off duty civilian employee assigned to the Police Detention Unit."
18-0058,2/15/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-11-18 at 6:15pm ,they were improperly stopped and verbally abused by an officer assigned to the 22nd District."
18-0059,2/21/18,19,DEPARTMENTAL VIOLATIONS,According to the complainant they have been harassed by an officer assigned to the 19th District.
18-0060,2/21/18,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-12-18 at 7:30pm, they were treated unprofessionally by officers assigned to the 19th District."
18-0061,2/15/18,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-6-18 at 12:05am, their property was taken by an officer assigned to the 25th District."
18-0062,2/16/18,14,VERBAL ABUSE,"According to the complainant, on 1-22-18 at 2:00am, they were verbally abused by an officer assigned to the 14th District."
18-0063,2/15/18,17,CRIMINAL ALLEGATION,"According to the complainant, on 10-7-16, they are missing property after an officer assigned to the Narcotics Field Unit, executed a search warrant at their home."
18-0064,2/21/18,35,LACK OF SERVICE,"According to the complainant, on 2-10-18 at 4:00am, they did not receive proper service from an officer assigned to the 35th District."
18-0065,2/20/18,25,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 11-28-17 at 9:11pm, their property is missing after being falsely arrested by officers assigned to the Narcotics Strike Force."
18-0066,2/20/18,18,CRIMINAL ALLEGATION,"According to the complainant, on 2-11-18 at 11:15pm, they are being harassed and threatened by an officer assigned to the Narcotics Field Unit."
18-0067,2/21/18,22,VERBAL ABUSE,"According to the complainant, on 2-15-18 at 11:30am, they were verbally abused by an officer assigned to the Traffic District."
18-0068,2/21/18,18,UNPROFESSIONAL CONDUCT,"According to the complainant, on 2-18-18 at 12:35am, they were verbally abused by an officer assigned to the 18th District."
18-0069,2/22/18,9,CRIMINAL ALLEGATION,"According to the complainant, on 2-18-18 at 12:00pm,they are missing property after they were stopped by officers assigned to the 9th District."
18-0070,2/21/18,16,PHYSICAL ABUSE,"According to the complainant, on 2-18-18 at 1:30am, they were physically and verbally abused by officers assigned to the 16th District."
18-0071,2/23/18,17,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-18-18 at 1:40am, they were treated unprofessionally by an officer assigned to the 17th District."
18-0072,2/21/18,25,PHYSICAL ABUSE,"According to the complainant, on 2-18-18 at 5:51pm, they were physically abused and falsely arrested by officers assigned to Highway Patrol."
18-0073,2/22/18,25,CRIMINAL ALLEGATION,"According to the complainant, on 2-18-18 at 6:12pm, they are missing property after they were stopped by an officer assigned to the 25th District."
18-0074,2/21/18,12,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-17-18 at 11:45pm, their vehicle was damaged by officers assigned to the 12th District."
18-0075,2/21/18,19,PHYSICAL ABUSE,"According to the complainant, on 2-19-18 at 11:32pm, they did not receive proper service from officers assigned to the 19th District."
18-0076,2/22/18,1,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 12-18-17, their First amendment rights were violated by a detective assigned to the Counter Terrorism Unit."
18-0077,3/2/18,25,VERBAL ABUSE,"According to the complainant, on 2-23-18, they were treated unprofessionally by officers assigned to the 25th District."
18-0078,2/27/18,2,LACK OF SERVICE,"According to the complainant, on 2-20-18 at 8:45pm, they did not receive proper service from the officers assigned to the 2nd District."
18-0079,3/2/18,25,PHYSICAL ABUSE,"According to the complainant, on 2-22-18 at 10:00am, they were physically abused by an officer assigned to the 25th District."
18-0080,2/27/18,15,PHYSICAL ABUSE,"According to the complainant, on 2-23-18 at 10:30am, they were physically abused by officers assigned to Highway Patrol."
18-0081,3/6/18,12,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-26-18 at 4:40pm, they were harassed by an officer assigned to the 12th District."
18-0082,3/2/18,6,VERBAL ABUSE,"According to the complainant, on 2-24-18 at 10:50pm, they were verbally abused by an officer assigned to the 6th District."
18-0083,3/7/18,19,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-18 at 9:30am, they are missing property after being arrested by officers assigned to the 19th District."
18-0084,3/5/18,1,LACK OF SERVICE,"According to the complainant, in November 2017, they did not receive proper service from officers assigned to the 1st District."
18-0085,3/5/18,8,DOMESTIC,"According to the complainant, on 2-28-18 at 10:30am, they were physically abused by a 911 call taker assigned to the Radio Room and officers assigned to the 8th District."
18-0086,3/5/18,24,VERBAL ABUSE,"According to the complainant, on 2-29-18, they were threatened by an officer assigned to the 25th District."
18-0087,3/5/18,N/A,HARASSMENT,"According to the complainant, on 2-29-18 at 9:10am, they were harassed by an officer assigned to the 25th District."
18-0088,3/2/18,2,VERBAL ABUSE,"According to the complainant, on 2-23-18 at 7:10pm, they were treated with rude behavior by an officer assigned to the 2nd District."
18-0089,3/5/18,25,PHYSICAL ABUSE,"According to the complainant, on 2-23-18 at 2:30pm, they were physically abused by officers assigned to the 25th District."
18-0090,3/5/18,25,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-2-18, they did not receive proper service from officers assigned to the 25th District."
18-0091,3/7/18,5,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-1-18 at 1:15am, they did not receive proper service from officers assigned to the 5th District."
18-0092,3/8/18,25,PHYSICAL ABUSE,"According to the complainant, on 3-4-18 at 8:10pm, they were physically and verbally abused by officers assigned to Highway Patrol."
18-0093,3/7/18,3,UNPROFESSIONAL CONDUCT,"According to the complainant, in December 2017, they were treated unprofessionally by an officer assigned to the 3rd District."
18-0094,3/8/18,6,PHYSICAL ABUSE,"According to the complainant, on 3-1-18 at 8:35pm, they were physically abused by an officer assigned to the Center City District."
18-0095,3/8/18,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-2-18 at 11:36pm, they did not receive proper service from officers assigned to Highway Patrol."
18-0096,3/8/18,14,PHYSICAL ABUSE,"According to the complainant, on 2-28-18 at 7:20pm, they were harassed ,physically, and verbally abused by an officer assigned to the 14th District."
18-0097,3/6/18,9,DOMESTIC,"According to the complainant, on 3-3-18 at 10:30pm, they were physically abused by an off duty officer assigned to the Airport Unit."
18-0098,3/8/18,1,SEXUAL CRIME/MISCONDUCT,"According to the complainant, on 3-1-18 at 8:00pm, they were verbally abused, treated unprofessionally and improperly searched by officers assigned to Highway Patrol."
18-0099,3/12/18,22,PHYSICAL ABUSE,"According to the complainant, on 3-6-18 at 11:56am, they were physically and verbally abused by an officer assigned to the 22nd District."
18-0100,3/12/18,25,LACK OF SERVICE,"According to the complainant, on 12-17-17 at 4:10am, they did not receive proper service from an officer assigned to the 25th District."
18-0101,3/13/18,26,VERBAL ABUSE,"According to the complainant, on 2-15-18 at 7:15pm, they were verbally abused by an officer assigned to Highway Patrol."
18-0102,3/12/18,15,CRIMINAL ALLEGATION,"According to the complainant, on 3-6-18 at 1:00am, they were physically abused and their money was taken by officers assigned to the 15th District."
18-0103,3/13/18,35,LACK OF SERVICE,"According to the complainant, on 3-7-18 at 11:11am, they did not receive proper service from a sergeant and an officer assigned the 35th District."
18-0104,3/13/18,19,LACK OF SERVICE,"According to the complainant, on 3-7-18 at 11:20am, they did not receive proper service from officers assigned to the 19th District."
18-0105,3/13/18,22,PHYSICAL ABUSE,"According to the complainant, on 2-28-18 at 10:50pm, they were physically abused and harassed by officers assigned to the 22nd District."
18-0106,3/15/18,19,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 3-11-18 at 8:42pm, they were racially profiled by officers assigned to the 19th District."
18-0107,3/13/18,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 3-1-18 at 8:45pm, they did not receive proper service from an officer assigned to the 19th District."
18-0108,3/15/18,8,PHYSICAL ABUSE,"According to the complainant, on 3-11-18 at 3:00pm, they were verbally and physically abused by an officer assigned to the 8th District."
18-0109,3/13/18,9,PHYSICAL ABUSE,"According to the complainant, on 3-11-18 at 12:00pm, they were verbally and physically abused by officers assigned to the 9th District."
18-0110,3/15/18,15,HARASSMENT,"According to the complainant, on 3-9-18 at 7:46pm, they were treated unprofessionally by an officer assigned to the 15th District."
18-0111,3/15/18,39,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-11-18 at 8:45pm, they were verbally abused and falsely detained by officers assigned to the 35th District."
18-0112,3/14/18,9,LACK OF SERVICE,"According to the complainant, on 3-7-18 at 5:10pm, 911 dispatchers assigned to the Radio Room were rude and dismissive."
18-0113,3/15/18,15,PHYSICAL ABUSE,"According to the complainant, on 6-26-18 at 10:00pm, they were physically abused by officers assigned to the 15th District."
18-0114,3/15/18,22,PHYSICAL ABUSE,"According to the complainant, on 3-11-18 at 9:00pm, they were verbally and physically abused by an officer assigned to Highway Patrol."
18-0115,3/15/18,14,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 3-12-18 at 4:48pm, they were racially profiled by an officer assigned to the 14th District."
18-0116,3/19/18,19,PHYSICAL ABUSE,"According to the complainant, on 3-13-18 at 7:15pm, they were harassed, improperly ticketed and physically abused by officers assigned to the 19th District."
18-0117,3/20/18,19,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 2-28-18 at 8:00pm, their property was not returned to them after they were arrested by officers assigned to the 19th District."
18-0118,3/19/18,9,PHYSICAL ABUSE,"According to the complainant, on 3-11-18 at 12:55pm, they are missing property and they were physically abused by an officer assigned to Highway Patrol."
18-0119,3/19/18,14,VERBAL ABUSE,"According to the complainant, on 3-13-18, they were verbally abused by an officer assigned to the 14th District."
18-0120,3/20/18,6,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-24-17 at 3:35pm, an officer assigned to the Center City District did not follow proper police procedure."
18-0121,3/19/18,19,CRIMINAL ALLEGATION,"According to the complainant, on 3-11-18 at 9:00pm, they were treated unprofessionally by an off-duty officer assigned to the Narcotics Field Unit."
18-0122,3/20/18,2,LACK OF SERVICE,"According to the complainant, on 3-5-18 at 2:45pm, they did not receive proper service from an officer assigned to the 2nd District."
18-0123,3/20/18,9,HARASSMENT,"According to the complainant, they have been falsely arrested, harassed and verbally abused by officers assigned to the 9th District."
18-0124,3/21/18,6,VERBAL ABUSE,"According to the complainant, on 3-17-18 at 7:52pm, they were treated unprofessionally by a 911 operator assigned to the Radio Room."
18-0125,3/21/18,39,LACK OF SERVICE,"According to the complainant, on 3-17-18 at 9:15pm, they did not receive proper service and was treated unprofessionally by an officer assigned to the 39th District."
18-0126,3/26/18,N/A,CRIMINAL ALLEGATION,"According to the complainant, for several years they are missing property, were falsely arrested and have been harassed by an officer assigned to the 18th District."
18-0127,3/23/18,6,PHYSICAL ABUSE,"According to the complainant, on 3-11-18 at 4:20am, they are missing property, were physically and verbally abused by officers assigned to the 6th District."
18-0128,3/23/18,17,VERBAL ABUSE,"According to the complainant, on 3-16-18 at 11:45am, they were verbally abused by an officer assigned to the Mounted Patrol Unit. This incident occurred in the confines of the 17th District."
18-0129,3/26/18,19,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 3-8-18 at 9:50pm, they were racially profiled by officers assigned to the 19th District."
18-0130,3/27/18,9,PHYSICAL ABUSE,"According to the complainant, on 3-8-18 at 1:30pm, they were physically abused by officers assigned to the 9th District."
18-0131,3/26/18,14,CIVIL RIGHTS COMPLAINT,"According to the complainant, on 11-9-17 at 10:00pm, they were racially profiled by an officer assigned to the 14th District."
18-0132,3/26/18,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-17 at 8:45pm, they were falsely arrested by officers assigned to the 14th District."
18-0133,3/27/18,6,HARASSMENT,"According to the complainant, on 3-22-18 at 8:30pm, they were harassed by an officer assigned to the 6th District."
18-0134,3/28/18,14,UNPROFESSIONAL CONDUCT,"According to the complainant, on 1-22-18 at 6:30am, they were treated unprofessionally by officers assigned to the 14th District."
18-0135,3/27/18,3,LACK OF SERVICE,"According to the complainant, on 10-24-17 at 6:40pm, they did not receive proper service from an officer assigned to the Records and Identification Unit."
18-0136,3/28/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-23-18 at 6:23pm, they were illegally stopped and frisked by officers assigned to the 18th District."
18-0137,3/28/18,77,UNPROFESSIONAL CONDUCT,"According to the complainant, on 3-26-18 at 10:00am, they were treated unprofessionally by a sergeant assigned to the Airport Unit."
18-0138,3/29/18,9,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 2-15-18 at 2:35pm, they were falsely arrested by an officer assigned to the Center City District."
18-0139,3/29/18,15,LACK OF SERVICE,"According to the complainant, on 3-23-18, they did not receive proper service from an officer assigned to the 15th District."
18-0140,3/29/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-24-18 at 10:00am, proper police procedures were not followed by an officer assigned to the 22nd District."
18-0141,3/29/18,N/A,DOMESTIC,"According to the complainant, from February 2016 to April 2016, they have been harassed by an off duty officer assigned to the 15th District."
18-0142,4/3/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-27-18 at 10:00pm, they were verbally abused by officers assigned to the 18th District."
18-0143,3/29/18,17,CRIMINAL ALLEGATION,"According to the complainant, on 1-23-18 at 10:23am, proper police procedures were not followed by officers assigned to the 17th District."
18-0144,3/29/18,39,LACK OF SERVICE,"According to the complainant, on 2-14-18 at 8:20am, they did not receive proper service from an officer assigned to the 39th District."
18-0145,3/29/18,1,PHYSICAL ABUSE,"According to the complainant, on 3-27-18, they were physically abused by an officer assigned to the 1st District."
18-0146,3/29/18,35,PHYSICAL ABUSE,"According to the complainant, on 3-24-18 at 9:30pm, they were physically abused by officers assigned to the 35th District."
18-0147,4/2/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-24-18 at 1:20am, they were illegally stopped, detained, ticketed, and their vehicle towed by an officer assigned to the 18th District."
18-0148,4/3/18,6,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-9-18 at 11:00am, they were treated unprofessionally by an officer assigned to the 6th District."
18-0149,4/3/18,22,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-29-18 at 12:30pm, they were verbally abused and improperly stopped by officers assigned to the 22nd District."
18-0150,4/3/18,19,PHYSICAL ABUSE,"According to the complainant, on 3-30-18 at 11:20am, they were physically and verbally abused by an officer assigned to the 19th District."
18-0151,4/3/18,22,PHYSICAL ABUSE,"According to the complainant, on 3-29-18 at 7:30pm, they were verbally abused by an officer assigned to the 22nd District."
18-0152,4/5/18,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-30-18 at 8:52pm, they were improperly stopped by officers assigned to the 14th District."
18-0153,4/4/18,16,LACK OF SERVICE,"According to the complainant, on 3-25-18 at 7:10pm, they did not receive proper service from a corporal assigned to the 16th District."
18-0154,4/3/18,16,PHYSICAL ABUSE,"According to the complainant, on 3-23-17 at 7:00pm, they were physically abused by an officer assigned to the 16th District."
18-0155,4/9/18,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, proper departmental policies were not followed by an officer assigned to the 19th District."
18-0156,4/4/18,0.09,PHYSICAL ABUSE,"According to the complainant, on 3-27-18 at 4:00pm, an officer, assigned to the 9th District, physically abused and used excessive force on an unknown civilian."
18-0157,4/5/18,35,VERBAL ABUSE,"According to the complainant, on 3-10-18 they were treated unprofessionally and verbally abused by an officer assigned to the 35th District."
18-0158,4/6/18,9,VERBAL ABUSE,"According to the complainant, on 3-28-18 at 5:02pm, they were verbally abused by an officer assigned to the Traffic District."
18-0159,4/6/18,35,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-31-18, their residence was improperly searched by an officer assigned to the 35th District."
18-0160,4/5/18,N/A,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-24-18, they were harassed by a detective assigned to the East Detective Division."
18-0161,4/5/18,18,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-28-18 at 6:15pm, departmental policies were violated by a sergeant and officers assigned to the 18th District."
18-0162,4/5/18,3,VERBAL ABUSE,"According to the complainant, on 3-15-18, they were verbally abused and did not receive proper service from an officer assigned to the 3rd District."
18-0163,4/9/18,24,VERBAL ABUSE,"According to the complainant, on 3-30-18, they were verbally abused by an officer assigned to the 24th District."
18-0164,4/9/18,14,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 3-31-18 at 9:00pm, departmental policies were violated by an officer assigned to the 14th District."
18-0165,4/9/18,6,LACK OF SERVICE,"According to the complainant, on 3-25-18 at 12:41am, they received a lack of service from a sergeant and officers assigned to the 9th District."
18-0166,4/9/18,15,UNPROFESSIONAL CONDUCT,"According to the complainant, on 4-3-18 at 3:30pm, they were treated unprofessionally and verbally abused by officers assigned to the 15th District."
